DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Hudobnícka;Hudobnícka;984 01;Luèenec 1;Luèenec 1;;Luèenec
Hviezdoslavova;Hviezdoslavova;984 01;Luèenec 1;Luèenec 1;;Luèenec
I. Krasku;I. Krasku;984 03;Luèenec 3;Luèenec 3;;Luèenec
I. P. Pavlova;I. P. Pavlova;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. A. Komenského;J. A. Komenského;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Bottu;J. Bottu;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. G. Tajovského;J. G. Tajovského;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Husa;J. Husa;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Chalupku;J. Chalupku;984 03;Luèenec 3;Luèenec 3;;Luèenec
J. J. Lermontova;J. J. Lermontova;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Jesenského;J. Jesenského;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Jiskru;J. Jiskru;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Kármana;J. Kármana;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Kollára;J. Kollára;984 03;Luèenec 3;Luèenec 3;;Luèenec
J. M. Hurbana;J. M. Hurbana;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Martinèeka;J. Martinèeka;984 03;Luèenec 3;Luèenec 3;;Luèenec
J. Smreka;J. Smreka;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Vargu;J. Vargu;984 01;Luèenec 1;Luèenec 1;;Luèenec
J. Wolkra;J. Wolkra;984 01;Luèenec 1;Luèenec 1;;Luèenec
Jána Perlicziho;Jána Perlicziho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Jána Petiana - Petényiho;Jána Petiana - Petényiho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Janka Alexyho;Janka Alexyho;984 03;Luèenec 3;Luèenec 3;;Luèenec
Janka Krá¾a;Janka Krá¾a;984 01;Luèenec 1;Luèenec 1;;Luèenec
Jánošíkova;Jánošíkova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Járková;Járková;984 01;Luèenec 1;Luèenec 1;;Luèenec
Jarná;Jarná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Jasná;Jasná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Jókaiho;Jókaiho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Júliusa Szabóa;Júliusa Szabóa;984 01;Luèenec 1;Luèenec 1;;Luèenec
Juraja Fándlyho;Juraja Fándlyho;984 03;Luèenec 3;Luèenec 3;;Luèenec
K. Kuzmányho;K. Kuzmányho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Karola Borhyho;Karola Borhyho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Karola Supa;Karola Supa;984 03;Luèenec 3;Luèenec 3;;Luèenec
Kláštorná;Kláštorná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Koháryho dolina;Koháryho dolina;984 01;Luèenec 1;Luèenec 1;;Luèenec
Kolomana Banšella;Kolomana Banšella;984 01;Luèenec 1;Luèenec 1;;Luèenec
Kolonáda;Kolonáda;984 01;Luèenec 1;Luèenec 1;;Luèenec
Kosatcová;Kosatcová;984 01;Luèenec 1;Luèenec 1;;Luèenec
Kpt. Nálepku;Kpt. Nálepku;984 01;Luèenec 1;Luèenec 1;;Luèenec
Krátka;Krátka;984 01;Luèenec 1;Luèenec 1;;Luèenec
Kukorelliho;Kukorelliho;984 03;Luèenec 3;Luèenec 3;;Luèenec
Kupeckého;Kupeckého;984 01;Luèenec 1;Luèenec 1;;Luèenec
Kvetná;Kvetná;984 03;Luèenec 3;Luèenec 3;;Luèenec
L. Mocsáryho;L. Mocsáryho;984 01;Luèenec 1;Luèenec 1;;Luèenec
L. N. Tolstého;L. N. Tolstého;984 03;Luèenec 3;Luèenec 3;;Luèenec
¼. Podjavorinskej;¼. Podjavorinskej;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ladislava Novomeského;Ladislava Novomeského;984 03;Luèenec 3;Luèenec 3;;Luèenec
¼adovo;¼adovo;984 01;Luèenec 1;Luèenec 1;;Luèenec
Letná;Letná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Líškova Osada;Líškova Osada;984 01;Luèenec 1;Luèenec 1;;Luèenec
Luèenské kúpele;Luèenské kúpele;984 01;Luèenec 1;Luèenec 1;;Luèenec
Lúèna;Lúèna;984 01;Luèenec 1;Luèenec 1;;Luèenec
¼udovíta Pekára;¼udovíta Pekára;984 01;Luèenec 1;Luèenec 1;;Luèenec
¼udovíta Štúra;¼udovíta Štúra;984 01;Luèenec 1;Luèenec 1;;Luèenec
M. Benku;M. Benku;984 01;Luèenec 1;Luèenec 1;;Luèenec
M. Kukuèína;M. Kukuèína;984 01;Luèenec 1;Luèenec 1;;Luèenec
M. Nešpora;M. Nešpora;984 03;Luèenec 3;Luèenec 3;;Luèenec
M. Šolochova;M. Šolochova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Malá;Malá;984 01;Luèenec 1;Luèenec 1;;Luèenec
Maloveská;Maloveská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Markušova pustatina;Markušova pustatina;984 01;Luèenec 1;Luèenec 1;;Luèenec
Maršála Malinovského;Maršála Malinovského;984 03;Luèenec 3;Luèenec 3;;Luèenec
Martina Rázusa;Martina Rázusa;984 01;Luèenec 1;Luèenec 1;;Luèenec
Mateja Bela;Mateja Bela;984 03;Luèenec 3;Luèenec 3;;Luèenec
Maxima Gorkého;Maxima Gorkého;984 01;Luèenec 1;Luèenec 1;;Luèenec
Mesaèná;Mesaèná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Mestská pustatina;Mestská pustatina;984 01;Luèenec 1;Luèenec 1;;Luèenec
Mestskı park;Mestskı park;984 01;Luèenec 1;Luèenec 1;;Luèenec
Mieru;Mieru;984 01;Luèenec 1;Luèenec 1;;Luèenec
Mikušovská;Mikušovská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Mládenícka;Mládenícka;984 01;Luèenec 1;Luèenec 1;;Luèenec
Mlynská;Mlynská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Modré zeme;Modré zeme;984 01;Luèenec 1;Luèenec 1;;Luèenec
Nábrená;Nábrená;984 01;Luèenec 1;Luèenec 1;;Luèenec
Námestie artézskych prameòov;Námestie artézskych prameòov;984 01;Luèenec 1;Luèenec 1;;Luèenec
Námestie Kubínyiho;Námestie Kubínyiho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Námestie republiky;Námestie republiky;984 01;Luèenec 1;Luèenec 1;;Luèenec
Námestie Tuhárske;Námestie Tuhárske;984 01;Luèenec 1;Luèenec 1;;Luèenec
Nógrádyho;Nógrádyho;984 03;Luèenec 3;Luèenec 3;;Luèenec
Nová;Nová;984 01;Luèenec 1;Luèenec 1;;Luèenec
Novohradská;Novohradská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Oblaèná;Oblaèná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Okruná;Okruná;984 03;Luèenec 3;Luèenec 3;;Luèenec
Olbrachtova;Olbrachtova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Osada;Osada;984 01;Luèenec 1;Luèenec 1;;Luèenec
Oslobodite¾ov;Oslobodite¾ov;984 01;Luèenec 1;Luèenec 1;;Luèenec
P. J. Šafárika;P. J. Šafárika;984 01;Luèenec 1;Luèenec 1;;Luèenec
P. Rádayho;P. Rádayho;984 01;Luèenec 1;Luèenec 1;;Luèenec
P. Tótha;P. Tótha;984 01;Luèenec 1;Luèenec 1;;Luèenec
Parašutistov;Parašutistov;984 01;Luèenec 1;Luèenec 1;;Luèenec
Park;Park;984 01;Luèenec 1;Luèenec 1;;Luèenec
Parková;Parková;984 01;Luèenec 1;Luèenec 1;;Luèenec
Parnı mlyn;Parnı mlyn;984 01;Luèenec 1;Luèenec 1;;Luèenec
Partizánska;Partizánska;984 01;Luèenec 1;Luèenec 1;;Luèenec
Pavla Dobšinského;Pavla Dobšinského;984 03;Luèenec 3;Luèenec 3;;Luèenec
Pekárenská;Pekárenská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Pivniènı rad;Pivniènı rad;984 01;Luèenec 1;Luèenec 1;;Luèenec
Pod kaštie¾om;Pod kaštie¾om;984 01;Luèenec 1;Luèenec 1;;Luèenec
Po¾ná;Po¾ná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Potoèná;Potoèná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Rapovská kriovatka;Rapovská kriovatka;984 01;Luèenec 1;Luèenec 1;;Luèenec
Revoluèná;Revoluèná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Robotnícka;Robotnícka;984 03;Luèenec 3;Luèenec 3;;Luèenec
Rúbanisko I;Rúbanisko I;984 03;Luèenec 3;Luèenec 3;;Luèenec
Rúbanisko II;Rúbanisko II;984 03;Luèenec 3;Luèenec 3;;Luèenec
Rúbanisko III;Rúbanisko III;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ruová osada;Ruová osada;984 01;Luèenec 1;Luèenec 1;;Luèenec
Sadová;Sadová;984 01;Luèenec 1;Luèenec 1;;Luèenec
Samuela Mikovíniho;Samuela Mikovíniho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Skladištná;Skladištná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Sládkovièova;Sládkovièova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Slepá;Slepá;984 01;Luèenec 1;Luèenec 1;;Luèenec
Slneèná;Slneèná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Slovenskej republiky rád;Slovenskej republiky rád;984 01;Luèenec 1;Luèenec 1;;Luèenec
Smetanovo námestie;Smetanovo námestie;984 01;Luèenec 1;Luèenec 1;;Luèenec
Sokolská;Sokolská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Staniènı obvod;Staniènı obvod;984 01;Luèenec 1;Luèenec 1;;Luèenec
Súmraèná;Súmraèná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Svätoplukova;Svätoplukova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Špitálska;Špitálska;984 01;Luèenec 1;Luèenec 1;;Luèenec
Športová;Športová;984 03;Luèenec 3;Luèenec 3;;Luèenec
Št. Moyzesa;Št. Moyzesa;984 01;Luèenec 1;Luèenec 1;;Luèenec
Študentská;Študentská;984 03;Luèenec 3;Luèenec 3;;Luèenec
Štvr M. R. Štefánika;Štvr M. R. Štefánika;984 01;Luèenec 1;Luèenec 1;;Luèenec
T. G. Masaryka;T. G. Masaryka;984 01;Luèenec 1;Luèenec 1;;Luèenec
Tehelná;Tehelná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Tenisové ihrisko;Tenisové ihrisko;984 01;Luèenec 1;Luèenec 1;;Luèenec
Terézie Vansovej;Terézie Vansovej;984 01;Luèenec 1;Luèenec 1;;Luèenec
Tichá;Tichá;984 01;Luèenec 1;Luèenec 1;;Luèenec
Tkáèska;Tkáèska;984 01;Luèenec 1;Luèenec 1;;Luèenec
Továrenská;Továrenská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Tulipánová;Tulipánová;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica A. Jiráska;Ulica A. Jiráska;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica A. Petõfiho;Ulica A. Petõfiho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica A. S. Jegorova;Ulica A. S. Jegorova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica A. S. Puškina;Ulica A. S. Puškina;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Adyho;Ulica Adyho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Alexandra Wágnera;Ulica Alexandra Wágnera;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Arm. Gen. L. Svobodu;Ulica Arm. Gen. L. Svobodu;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica B. Nìmcovej;Ulica B. Nìmcovej;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica budovate¾ov;Ulica budovate¾ov;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica D. Maróthyho;Ulica D. Maróthyho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Daxnerova;Ulica Daxnerova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Dekr. Matejovie;Ulica Dekr. Matejovie;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica Dr. Herza;Ulica Dr. Herza;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Dr. Vodu;Ulica Dr. Vodu;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Dukelskıch hrdinov;Ulica Dukelskıch hrdinov;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Erenburgova;Ulica Erenburgova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica F.Lehára;Ulica F.Lehára;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Františka Gyurkovitsa;Ulica Františka Gyurkovitsa;984 01;Luèenec 1;Luèenec 1;è. 16,11,12,4,1;Luèenec
Ulica Gagarinova;Ulica Gagarinova;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica garbiarska;Ulica garbiarska;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica I. P. Pavlova;Ulica I. P. Pavlova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica J. A. Komenského;Ulica J. A. Komenského;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica J. Husa;Ulica J. Husa;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica J. M. Hurbana;Ulica J. M. Hurbana;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica J. Martinèeka;Ulica J. Martinèeka;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica J. Vargu;Ulica J. Vargu;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Jána Perlicziho;Ulica Jána Perlicziho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica járkova;Ulica járkova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Jókaiho;Ulica Jókaiho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Júliusa Szabóa;Ulica Júliusa Szabóa;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Juraja Fándlyho;Ulica Juraja Fándlyho;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica K. Kuzmányho;Ulica K. Kuzmányho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Karola Supa;Ulica Karola Supa;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica kláštorná;Ulica kláštorná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Kolomana Banšella;Ulica Kolomana Banšella;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Kpt. Nálepku;Ulica Kpt. Nálepku;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica kvetná;Ulica kvetná;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica L. Mocsáryho;Ulica L. Mocsáryho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica L. N. Tolstého;Ulica L. N. Tolstého;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica ¼. Podjavorinskej;Ulica ¼. Podjavorinskej;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Ladislava Novomeského;Ulica Ladislava Novomeského;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica lúèna;Ulica lúèna;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica ¼udovíta Štúra;Ulica ¼udovíta Štúra;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica M. J. Lermontova;Ulica M. J. Lermontova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica maloveská;Ulica maloveská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica maršála Malinovského;Ulica maršála Malinovského;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica Martina Rázusa;Ulica Martina Rázusa;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Mateja Bela;Ulica Mateja Bela;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica mieru;Ulica mieru;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica mikušovská;Ulica mikušovská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica mládenícka;Ulica mládenícka;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica nová;Ulica nová;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica novohradská;Ulica novohradská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica okruná;Ulica okruná;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica Olbrachtova;Ulica Olbrachtova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica P. J. Šafárika;Ulica P. J. Šafárika;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica P. Rádayho;Ulica P. Rádayho;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica P. Tótha;Ulica P. Tótha;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica parašutistov;Ulica parašutistov;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica partizánska;Ulica partizánska;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Pavla Dobšinského;Ulica Pavla Dobšinského;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica po¾ná;Ulica po¾ná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica revoluèná;Ulica revoluèná;984 01;Luèenec 1;Luèenec 1;;Luèenec
ulica Sadová;ulica Sadová;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica skladištná;Ulica skladištná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Sládkovièova;Ulica Sládkovièova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica slepá;Ulica slepá;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Slovenskej republiky rád;Slovenskej rep.rád;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Svätoplukova;Ulica Svätoplukova;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica špitálska;Ulica špitálska;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica športová;Ulica športová;984 03;Luèenec 3;Luèenec 3;;Luèenec
Ulica Št. Moyzesa;Ulica Št. Moyzesa;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica T. G. Masaryka;Ulica T. G. Masaryka;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica továrenská;Ulica továrenská;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica V. V. Majakovského;Ulica V. V. Majakovského;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Vajanského;Ulica Vajanského;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica Zory Jesenskej;Ulica Zory Jesenskej;984 01;Luèenec 1;Luèenec 1;;Luèenec
Ulica eleznièná;Ulica eleznièná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Úzka;Úzka;984 01;Luèenec 1;Luèenec 1;;Luèenec
Veterná osada;Veterná osada;984 01;Luèenec 1;Luèenec 1;;Luèenec
Vinica;Vinica;984 01;Luèenec 1;Luèenec 1;;Luèenec
Vinohradná ulica;Vinohradná ulica;984 01;Luèenec 1;Luèenec 1;;Luèenec
Vıstavisko;Vıstavisko;984 01;Luèenec 1;Luèenec 1;;Luèenec
Z. Nejedlého;Z. Nejedlého;984 01;Luèenec 1;Luèenec 1;;Luèenec
Záhradná;Záhradná;984 01;Luèenec 1;Luèenec 1;;Luèenec
Zámocká;Zámocká;984 01;Luèenec 1;Luèenec 1;;Luèenec
Zelená;Zelená;984 01;Luèenec 1;Luèenec 1;;Luèenec
Zlatá ulièka;Zlatá ulièka;984 01;Luèenec 1;Luèenec 1;;Luèenec
Zvolenská cesta;Zvolenská cesta;984 01;Luèenec 1;Luèenec 1;;Luèenec
eleznièná;eleznièná;984 01;Luèenec 1;Luèenec 1;;Luèenec
29.augusta;29.augusta;036 01;Martin 1;Martin 1;;Martin
A.Kmea;A.Kmea;036 01;Martin 1;Martin 1;;Martin
A.Mamateja;A.Mamateja;036 01;Martin 1;Martin 1;;Martin
A.Medòanského;A.Medòanského;038 61;Vrútky;Vrútky;;Martin
A.Pietra;A.Pietra;036 01;Martin 1;Martin 1;;Martin
A.Sokolíka;A.Sokolíka;036 01;Martin 1;Martin 1;;Martin
A.Stodolu;A.Stodolu;036 01;Martin 1;Martin 1;;Martin
B.Bullu;B.Bullu;038 61;Vrútky;Vrútky;;Martin
B.Nìmcovej;B.Nìmcovej;036 01;Martin 1;Martin 1;;Martin
Bagarova;Bagarova;036 01;Martin 1;Martin 1;;Martin
Bambusky;Bambusky;036 01;Martin 1;Martin 1;;Martin
Bazovského;Bazovského;036 01;Martin 1;Martin 1;;Martin
Bellova;Bellova;036 01;Martin 1;Martin 1;;Martin
Benkova;Benkova;036 01;Martin 1;Martin 1;;Martin
Bernolákova;Bernolákova;036 01;Martin 1;Martin 1;;Martin
Bezekova;Bezekova;036 01;Martin 1;Martin 1;;Martin
Bezruèova;Bezruèova;036 01;Martin 1;Martin 1;;Martin
Björnsonova;Björnsonova;036 01;Martin 1;Martin 1;;Martin
Bottova;Bottova;036 01;Martin 1;Martin 1;;Martin
Brezová;Brezová;036 01;Martin 1;Martin 1;;Martin
Brigádnická;Brigádnická;036 01;Martin 1;Martin 1;;Martin
Budovate¾ov;Budovate¾ov;036 01;Martin 1;Martin 1;;Martin
C.Majerníka;C.Majerníka;036 01;Martin 1;Martin 1;;Martin
Cesta k lesu;Cesta k lesu;036 01;Martin 1;Martin 1;;Martin
Clementisova;Clementisova;036 01;Martin 1;Martin 1;;Martin
Èervenej armády;Èervenej armády;036 01;Martin 1;Martin 1;;Martin
Èsl.armády;Èsl.armády;036 01;Martin 1;Martin 1;;Martin
Èulenova;Èulenova;036 01;Martin 1;Martin 1;;Martin
D.Makovického;D.Makovického;036 01;Martin 1;Martin 1;;Martin
Daniela Michaelliho;Daniela Michaelliho;036 01;Martin 1;Martin 1;;Martin
Daxnerova;Daxnerova;036 01;Martin 1;Martin 1;;Martin
Devínska;Devínska;038 61;Vrútky;Vrútky;;Martin
Divadelná;Divadelná;036 01;Martin 1;Martin 1;;Martin
Dobšinského;Dobšinského;036 01;Martin 1;Martin 1;;Martin
Dostojevského;Dostojevského;036 01;Martin 1;Martin 1;;Martin
Drustevná;Drustevná;036 01;Martin 1;Martin 1;;Martin
Dúbravca;Dúbravca;036 01;Martin 1;Martin 1;;Martin
E.B.Lukáèa;E.B.Lukáèa;036 01;Martin 1;Martin 1;;Martin
F.Štefunku;F.Štefunku;036 01;Martin 1;Martin 1;;Martin
Fatranská;Fatranská;036 01;Martin 1;Martin 1;;Martin
Fínska;Fínska;038 61;Vrútky;Vrútky;è. 1-4, 2A, 11A, nepár. 5-35, nepár. 41-45;Martin
Flámska;Flámska;036 01;Martin 1;Martin 1;;Martin
Fornigovo;Fornigovo;036 01;Martin 1;Martin 1;;Martin
Franc.partizánov;Franc.partizánov;038 61;Vrútky;Vrútky;1,2,3,4,5,6,7,8,14/9464;Martin
Francisciho;Francisciho;036 01;Martin 1;Martin 1;;Martin
Gándhího;Gándhího;036 01;Martin 1;Martin 1;;Martin
Gen.Svobodu;Gen.Svobodu;036 01;Martin 1;Martin 1;;Martin
Gogo¾ova;Gogo¾ova;036 01;Martin 1;Martin 1;;Martin
Gorkého;Gorkého;036 01;Martin 1;Martin 1;;Martin
H.Gregorovej;H.Gregorovej;038 61;Vrútky;Vrútky;;Martin
H.Melièkovej;H.Melièkovej;036 01;Martin 1;Martin 1;;Martin
Hájska;Hájska;036 01;Martin 1;Martin 1;;Martin
Halašova;Halašova;036 01;Martin 1;Martin 1;;Martin
Hasièská ulica;Hasièská ulica;038 61;Vrútky;Vrútky;;Martin
Heèkova;Heèkova;036 01;Martin 1;Martin 1;;Martin
Helsinská;Helsinská;038 61;Vrútky;Vrútky;;Martin
Hlboká;Hlboká;036 01;Martin 1;Martin 1;;Martin
Hodova;Hodova;036 01;Martin 1;Martin 1;;Martin
Hollého;Hollého;036 01;Martin 1;Martin 1;;Martin
Holubyho;Holubyho;036 01;Martin 1;Martin 1;;Martin
Horská;Horská;036 01;Martin 1;Martin 1;;Martin
Hradeènica;Hradeènica;036 01;Martin 1;Martin 1;;Martin
Hrdinov SNP;Hrdinov SNP;036 01;Martin 1;Martin 1;;Martin
Hurbanova;Hurbanova;036 01;Martin 1;Martin 1;;Martin
Charkovská;Charkovská;038 61;Vrútky;Vrútky;;Martin
Chotárna;Chotárna;038 61;Vrútky;Vrútky;nepár.è. 1-19;Martin
I. kolónia;I. kolónia;038 61;Vrútky;Vrútky;;Martin
II. kolónia;II. kolónia;038 61;Vrútky;Vrútky;;Martin
III. kolónia;III. kolónia;038 61;Vrútky;Vrútky;;Martin
Izabely Textorisovej;Izabely Textorisovej;036 01;Martin 1;Martin 1;;Martin
J. Krá¾a;J. Krá¾a;036 01;Martin 1;Martin 1;;Martin
J.Alexyho;J.Alexyho;036 01;Martin 1;Martin 1;;Martin
J.Barèa-Ivana;J.Barèa-Ivana;036 01;Martin 1;Martin 1;;Martin
J.Goliána;J.Goliána;036 01;Martin 1;Martin 1;;Martin
J.Kalinèiaka;J.Kalinèiaka;036 01;Martin 1;Martin 1;;Martin
J.Kostru;J.Kostru;038 61;Vrútky;Vrútky;;Martin
J.Lettricha;J.Lettricha;036 01;Martin 1;Martin 1;;Martin
J.Martáka;J.Martáka;038 61;Vrútky;Vrútky;;Martin
J.Mazúra;J.Mazúra;036 01;Martin 1;Martin 1;;Martin
J.Palkovièa;J.Palkovièa;036 01;Martin 1;Martin 1;;Martin
J.Š.Šikuru;J.Š.Šikuru;038 61;Vrútky;Vrútky;;Martin
J.V.Dolinského;J.V.Dolinského;038 61;Vrútky;Vrútky;;Martin
Jahodnícka;Jahodnícka;036 01;Martin 1;Martin 1;;Martin
Jána Bohdana Hroboòa;Jána Bohdana Hroboòa;036 01;Martin 1;Martin 1;;Martin
Jána Fraòa;Jána Fraòa;036 01;Martin 1;Martin 1;;Martin
Jána Petrikovicha;Jána Petrikovicha;036 01;Martin 1;Martin 1;;Martin
Jána Šimka;Jána Šimka;036 01;Martin 1;Martin 1;;Martin
Jána Šípku;Jána Šípku;036 01;Martin 1;Martin 1;;Martin
Jánošíkova;Jánošíkova;036 01;Martin 1;Martin 1;;Martin
Jed¾oviny;Jed¾oviny;038 61;Vrútky;Vrútky;;Martin
Jeleòova;Jeleòova;036 01;Martin 1;Martin 1;;Martin
Jesenského;Jesenského;036 01;Martin 1;Martin 1;;Martin
Jilemnického;Jilemnického;036 01;Martin 1;Martin 1;;Martin
Jozefa Krónera;Jozefa Krónera;036 01;Martin 1;Martin 1;;Martin
K letisku;K letisku;036 01;Martin 1;Martin 1;;Martin
Kadavého;Kadavého;036 01;Martin 1;Martin 1;;Martin
Kalnô;Kalnô;036 01;Martin 1;Martin 1;;Martin
Kaštie¾na;Kaštie¾na;036 01;Martin 1;Martin 1;;Martin
Kernova;Kernova;036 01;Martin 1;Martin 1;;Martin
Kijevská;Kijevská;038 61;Vrútky;Vrútky;;Martin
Kmeka;Kmeka;038 61;Vrútky;Vrútky;;Martin
Koce¾ova;Koce¾ova;036 01;Martin 1;Martin 1;;Martin
Kohútova;Kohútova;036 01;Martin 1;Martin 1;;Martin
Kollárova;Kollárova;036 01;Martin 1;Martin 1;;Martin
